Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nf,C_0402_1005Metric,35.0868,50.7094,90.0,top
C2,10uf,C_0603_1608Metric,38.2364,51.1666,0.0,top
C3,100nf,C_0402_1005Metric,37.9316,49.8204,0.0,top
C4,100nf,C_0402_1005Metric,17.907,9.006,180.0,top
C5,10uf,C_1206_3216Metric,22.225,54.472,90.0,top
C6,10uf,C_1206_3216Metric,11.938,43.042,180.0,top
C7,10uf,C_1206_3216Metric,21.082,58.917,180.0,top
C8,10uf,C_1206_3216Metric,16.2276,58.917,0.0,top
C9,10uf,C_0603_1608Metric,12.443,57.9264,180.0,top
C10,10uf,C_0603_1608Metric,12.4176,59.4504,180.0,top
C11,100n,C_0402_1005Metric,22.0472,51.1954,-90.0,top
C12,100nf,C_0402_1005Metric,22.037,11.097,0.0,top
C13,100nf,C_0402_1005Metric,32.679,13.959,-90.0,top
C14,220nf,C_0402_1005Metric,26.67,13.959,90.0,top
C15,100nf,C_0402_1005Metric,20.132,11.097,180.0,top
C16,4.7uf,C_0402_1005Metric,27.559,13.959,90.0,top
C17,100nf,C_0402_1005Metric,9.017,41.518,90.0,top
C18,100nf,C_0402_1005Metric,9.271,33.136,90.0,top
C19,10uf,C_0603_1608Metric,11.176,41.264,180.0,top
C20,10uf,C_0603_1608Metric,11.303,32.882,180.0,top
D1,GREEN,LED_0603_1608Metric,38.1,21.067,180.0,top
D2,RED,LED_0603_1608Metric,38.098,22.595,180.0,top
D3,B5819W SL,D_SOD-123,16.3038,51.2462,0.0,top
D4,SMF5V0A,D_SMF,9.392,57.774,90.0,top
D5,RED,LED_0603_1608Metric,27.94,51.297,180.0,top
J1,DEBUG,PinHeader_1x06_P2.54mm_Vertical,31.877,25.643,90.0,top
J2,GPS,PinHeader_1x04_P2.54mm_Vertical,14.717,4.0025,90.0,top
J3,POWER,PinHeader_1x02_P2.54mm_Vertical,28.082,57.01,-90.0,top
J4,MOTY_ENCODER,PinHeader_1x04_P2.54mm_Vertical,3.9535,46.30625,0.0,top
J5,MOTY,PinHeader_1x02_P2.54mm_Vertical,4.002,36.3575,0.0,top
J6,MOTX_ENCODER,PinHeader_1x04_P2.54mm_Vertical,3.9535,19.0,0.0,top
J7,MOTX,PinHeader_1x02_P2.54mm_Vertical,4.002,28.94875,0.0,top
L1,22uH,L_Taiyo-Yuden_NR-40xx,12.951,54.726,180.0,top
R1,10k,R_0402_1005Metric,36.1536,50.7094,-90.0,top
R2,4.7k,R_0402_1005Metric,34.923,21.325,0.0,top
R3,4.7k,R_0402_1005Metric,34.923,22.468,0.0,top
R4,200k,R_0402_1005Metric,19.6058,55.2285,-90.0,top
R5,33k,R_0402_1005Metric,19.5804,53.1766,-90.0,top
R6,100k,R_0402_1005Metric,19.6058,51.1645,-90.0,top
R7,10k,R_0402_1005Metric,25.019,51.678,0.0,top
R8,10k,R_0402_1005Metric,23.114,51.172,-90.0,top
R9,1k,R_0402_1005Metric,20.955,51.1954,-90.0,top
R10,NC,R_0402_1005Metric,24.699,11.417,90.0,top
R11,NC,R_0402_1005Metric,23.749,11.417,90.0,top
R12,4.7k,R_0402_1005Metric,17.145,13.959,90.0,top
R13,4.7k,R_0402_1005Metric,18.034,13.959,90.0,top
R14,0R,R_0402_1005Metric,24.699,13.957,90.0,top
R15,0R,R_0402_1005Metric,23.749,13.957,90.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,30.0,39.0,-90.0,top
U2,TX4137,SOT-23-6,17.1928,54.726,90.0,top
U3,BMI270,LGA-14_L3.0-W2.5-P0.50-BR,21.082,13.324,180.0,top
U4,QMC5883L,LGA-16_L3.0-W3.0-P0.50-BL_SQ,30.038,13.383,90.0,top
U5,AT8236,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,12.319,37.962,180.0,top
U6,AT8236,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,12.319,29.58,180.0,top
